Row #	Gene	Transcripts	OMIM phenotype ID	Disorder group	Inheritance mode (AR/AR-AD)
151	ASPH	ENST00000379454, ENST00000541428, ENST00000522919, ENST00000356457, ENST00000445642, ENST00000519234, ENST00000518068, ENST00000517903, ENST00000517847, ENST00000522835, ENST00000517856, ENST00000389204, ENST00000522603, ENST00000379449, ENST00000517661	601552	Blindness	AR
152	ASPM	ENST00000294732, ENST00000367409, ENST00000367408	608716	ID	AR
153	ASS1	ENST00000352480, ENST00000372394, ENST00000372393	215700	Metabolic-ID	AR
154	ATAD1	ENST00000308448, ENST00000328142	618011	Metabolic-ID	AR
155	ATCAY	ENST00000450849, ENST00000600960	601238	Neuromuscular	AR
156	ATF6	ENST00000367942	616517	Blindness	AR
157	ATIC	ENST00000236959, ENST00000435675	608688	Metabolic-ID	AR
158	ATM	ENST00000278616, ENST00000452508, ENST00000530958, ENST00000639953, ENST00000640388, ENST00000639240, ENST00000526567	208900	Multi-system	AR
159	ATOH7	ENST00000373673	221900	Blindness	AR
160	ATP13A2	ENST00000326735, ENST00000341676, ENST00000452699, ENST00000617114	606693	Metabolic	AR
161	ATP2A1	ENST00000357084, ENST00000395503, ENST00000536376	601003	Neuromuscular	AR
162	ATP5D	ENST00000395633, ENST00000215375, ENST00000591660	618120	Metabolic	AR
163	ATP6V0A2	ENST00000330342, ENST00000613625, ENST00000544833	219200	Metabolic-ID	AR
164	ATP6V0A4	ENST00000393054, ENST00000310018, ENST00000353492	602722	Cilia+Kidney	AR-AD
165	ATP6V1B1	ENST00000234396, ENST00000412314	267300	Multi-system	AR
166	ATP6V1E1	ENST00000253413, ENST00000399796, ENST00000399798	617402	Metabolic	AR
167	ATP7B	ENST00000242839, ENST00000448424, ENST00000344297, ENST00000400366, ENST00000400370, ENST00000634844, ENST00000418097	277900	Metabolic	AR
168	ATP8B1	ENST00000283684	243300	Metabolic	AR-AD
169	ATR	ENST00000350721	210600	ID	AR-AD
170	AUH	ENST00000303617, ENST00000375731, ENST00000448930	250950	Metabolic-ID	AR
171	AURKC	ENST00000415300, ENST00000302804, ENST00000599062, ENST00000598785, ENST00000558401	243060	Endocrine	AR
172	B2M	ENST00000544417, ENST00000559916	241600	Immune system	AR-AD
173	B3GALNT2	ENST00000366600, ENST00000313984	615181	Metabolic-ID	AR
174	B3GALT6	ENST00000379198	615349	Metabolic-ID	AR
175	B3GAT3	ENST00000265471, ENST00000531383, ENST00000534026	245600	Metabolic	AR
176	B3GLCT	ENST00000343307	261540	Metabolic-ID	AR
177	B4GALNT1	ENST00000341156, ENST00000418555, ENST00000449184, ENST00000550764, ENST00000552350	609195	ID	AR
178	B4GALT1	ENST00000535206, ENST00000379731	607091	Metabolic	AR
179	B4GALT7	ENST00000029410	130070	Metabolic-ID	AR
180	B4GAT1	ENST00000311181	615287	Metabolic-ID	AR
181	B9D1	ENST00000575403, ENST00000477478, ENST00000461069, ENST00000395615, ENST00000261499, ENST00000395616, ENST00000268841	617120	Multi-system	AR
182	B9D2	ENST00000243578	614175	Cilia+Kidney	AR
183	BAAT	ENST00000259407, ENST00000395051	607748	Metabolic	AR
184	BANF1	ENST00000312175, ENST00000445560, ENST00000533166, ENST00000527348	614008	Multi-system	AR
185	BBS1	ENST00000318312, ENST00000455748, ENST00000393994, ENST00000630659	209900	ID	AR
186	BBS10	ENST00000393262	209900	ID	AR
187	BBS12	ENST00000542236, ENST00000314218	209900	ID	AR
188	BBS2	ENST00000568104, ENST00000245157	209900	ID	AR
189	BBS4	ENST00000395205, ENST00000268057	209900	ID	AR
190	BBS5	ENST00000295240, ENST00000392663	209900	ID	AR
191	BBS7	ENST00000264499, ENST00000506636	209900	ID	AR
192	BBS9	ENST00000242067, ENST00000350941, ENST00000355070, ENST00000396127, ENST00000425508	209900	ID	AR
193	BCKDHA	ENST00000269980, ENST00000457836	248600	Metabolic-ID	AR
194	BCKDHB	ENST00000369760, ENST00000356489, ENST00000320393	248600	Metabolic-ID	AR
195	BCKDK	ENST00000394951, ENST00000287507, ENST00000394950, ENST00000219794	614923	ID	AR-AD
196	BCS1L	ENST00000359273, ENST00000392109, ENST00000392110, ENST00000392111, ENST00000412366, ENST00000439945, ENST00000431802	262000	Metabolic-ID	AR
197	BFSP1	ENST00000377873, ENST00000377868, ENST00000536626	611391	Blindness	AR-AD
198	BHLHA9	ENST00000391429	609432	Skeletal	AR
199	BIN1	ENST00000376113, ENST00000259238, ENST00000346226, ENST00000348750, ENST00000351659, ENST00000352848, ENST00000357970, ENST00000393040, ENST00000393041, ENST00000316724, ENST00000409400	255200	Neuromuscular	AR
200	BLM	ENST00000355112, ENST00000560509	210900	ID	AR
201	BLOC1S3	ENST00000433642, ENST00000587722	614077	Multi-system	AR
202	BLVRA	ENST00000265523, ENST00000402924	614156	Metabolic	AR-AD
203	BMP1	ENST00000306385, ENST00000397814, ENST00000354870, ENST00000306349	614856	Skeletal	AR
204	BMPER	ENST00000297161	608022	Skeletal	AR
205	BOLA3	ENST00000327428, ENST00000295326	614299	Metabolic-ID	AR
206	BPGM	ENST00000344924, ENST00000418040, ENST00000393132	222800	Metabolic	AR
207	BRAT1	ENST00000340611, ENST00000352993	614498	ID	AR
208	BRCA1	ENST00000357654, ENST00000468300, ENST00000586385, ENST00000591534, ENST00000591849, ENST00000493795, ENST00000471181, ENST00000491747, ENST00000354071	617883	Multi-system	AR
209	BRCA2	ENST00000380152, ENST00000544455	605724	Multi-system	AR-AD
210	BRF1	ENST00000327359, ENST00000440513, ENST00000392557, ENST00000547530, ENST00000379937, ENST00000446501, ENST00000379932, ENST00000551787, ENST00000619151, ENST00000548421	616202	ID	AR
211	BSCL2	ENST00000405837, ENST00000278893, ENST00000360796, ENST00000403550, ENST00000407022, ENST00000421906	269700	ID	AR-AD
212	BSND	ENST00000371265	602522	Multi-system	AR
213	BTD	ENST00000449107, ENST00000303498, ENST00000437172, ENST00000383778	253260	Metabolic-ID	AR
214	BUB1B	ENST00000287598, ENST00000412359	257300	ID	AR
215	BVES	ENST00000314641, ENST00000336775, ENST00000446408	616812	ID	AR
216	C12orf57	ENST00000544681, ENST00000537087, ENST00000229281, ENST00000540506	218340		AR
217	C12orf65	ENST00000253233, ENST00000366329, ENST00000429587	613559	Metabolic-ID	AR
218	C15orf41	ENST00000566621, ENST00000437989, ENST00000569302, ENST00000567389, ENST00000562877, ENST00000338183, ENST00000562489, ENST00000563167	615631	Hematologic	AR
219	C19orf12	ENST00000623113, ENST00000614091, ENST00000323670, ENST00000392276, ENST00000592153, ENST00000392278	614298	Metabolic	AR
220	C1QA	ENST00000374642, ENST00000402322	613652	Multi-system	AR
221	C1QB	ENST00000509305, ENST00000314933	613652	Multi-system	AR
222	C1QBP	ENST00000225698, ENST00000574444	617713	Metabolic	AR
223	C1QC	ENST00000374640, ENST00000374639, ENST00000374637	613652	Multi-system	AR
224	C2	ENST00000469372, ENST00000452323, ENST00000299367, ENST00000442278, ENST00000418949	217000	Immune system	AR
225	C21orf2	ENST00000339818, ENST00000397956, ENST00000325223	602271	Multi-system	AR
226	C21orf59	ENST00000382549, ENST00000290155	615500	Cilia+Kidney	AR
227	C2CD3	ENST00000334126, ENST00000313663, ENST00000539061	615948	ID	AR
228	C2orf71	ENST00000331664	613428	Blindness	AR
229	C3	ENST00000245907	613779	Multi-system	AR
230	C4A	ENST00000428956, ENST00000498271	614380	Immune system	AR
231	C4B	ENST00000435363, ENST00000425700	614379	Immune system	AR-AD
232	C4orf26	ENST00000616557, ENST00000311623, ENST00000435974	614832	Multi-system	AR
233	C5	ENST00000223642	609536	Immune system	AR-AD
234	C5orf42	ENST00000508244, ENST00000425232	614615	ID	AR
235	C8A	ENST00000361249, ENST00000371237	613790	Immune system	AR
236	C8B	ENST00000535057, ENST00000543257	613789	Immune system	AR
237	C8orf37	ENST00000286688	614500	Multi-system	AR
238	C9	ENST00000263408	613825	Immune system	AR-AD
239	CA12	ENST00000178638, ENST00000344366, ENST00000422263	143860	Metabolic	AR
240	CA2	ENST00000285379	259730	ID	AR
241	CA5A	ENST00000309893	615751	Metabolic-ID	AR
242	CA8	ENST00000317995	613227	ID	AR
243	CABP2	ENST00000353903, ENST00000294288, ENST00000636477	614899	Deafness	AR
244	CABP4	ENST00000438189, ENST00000325656	610427	Blindness	AR
245	CACNA2D4	ENST00000382722, ENST00000587995, ENST00000588077, ENST00000586184, ENST00000585708, ENST00000585732, ENST00000538450, ENST00000538027	610478	Blindness	AR
246	CAD	ENST00000264705, ENST00000403525, ENST00000620915	616457	Metabolic-ID	AR
247	CANT1	ENST00000392446, ENST00000302345, ENST00000591773	251450	Metabolic-ID	AR
248	CAPN1	ENST00000533820, ENST00000533129, ENST00000524773, ENST00000279247, ENST00000527323	616907	Neuromuscular	AR
249	CAPN3	ENST00000318023, ENST00000357568, ENST00000349748, ENST00000397163, ENST00000397200, ENST00000337571, ENST00000356316, ENST00000569136, ENST00000561817, ENST00000397204	253600	Neuromuscular	AR-AD
250	CARD9	ENST00000371732, ENST00000371734	212050	Multi-system	AR
251	CARS2	ENST00000257347	616672	Metabolic-ID	AR
252	CASP14	ENST00000427043	617320	Dermatologic	AR
253	CASQ2	ENST00000261448	611938		AR
254	CASR	ENST00000639785, ENST00000638421, ENST00000498619, ENST00000490131, ENST00000338252	239200	Cilia+Kidney	AR-AD
255	CAST	ENST00000508830, ENST00000395812, ENST00000510756, ENST00000508608, ENST00000341926, ENST00000395813, ENST00000511049, ENST00000309190, ENST00000509903, ENST00000511782, ENST00000504465, ENST00000508579, ENST00000515663, ENST00000325674	616295	Dermatologic	AR
256	CAT	ENST00000241052	614097	Metabolic	AR-AD
257	CATSPER1	ENST00000312106	612997	Endocrine	AR
258	CAVIN1	ENST00000357037	613327	Multi-system	AR
259	CBS	ENST00000398158, ENST00000398165, ENST00000359624, ENST00000352178	236200	Metabolic-ID	AR
260	CC2D1A	ENST00000318003, ENST00000589606	608443	ID	AR
261	CC2D2A	ENST00000424120, ENST00000503292, ENST00000438599, ENST00000507954, ENST00000515124, ENST00000503658	216360	ID	AR
262	CCBE1	ENST00000398179, ENST00000439986	235510	ID	AR
263	CCDC103	ENST00000410006, ENST00000410027, ENST00000417826	614679	Cilia+Kidney	AR
264	CCDC114	ENST00000315396	615067	Cilia+Kidney	AR
265	CCDC115	ENST00000259229, ENST00000409127	616828	Metabolic-ID	AR
266	CCDC151	ENST00000356392, ENST00000591179, ENST00000586836	616037	Cilia+Kidney	AR
267	CCDC174	ENST00000611584, ENST00000303688, ENST00000383794	616816	ID	AR
268	CCDC39	ENST00000442201	613807	Cilia+Kidney	AR-AD
269	CCDC40	ENST00000374877, ENST00000397545, ENST00000269318, ENST00000374876	613808	Cilia+Kidney	AR-AD
270	CCDC65	ENST00000266984, ENST00000320516	615504	Cilia+Kidney	AR
271	CCDC8	ENST00000307522	614205	Skeletal	AR
272	CCDC88C	ENST00000331194, ENST00000389857, ENST00000389856, ENST00000553403	236600	ID	AR-AD
273	CCNO	ENST00000282572	615872	Cilia+Kidney	AR
274	CCT5	ENST00000280326, ENST00000503026, ENST00000515390, ENST00000625723, ENST00000515676, ENST00000506600	256840	Neuromuscular	AR
275	CD151	ENST00000397420, ENST00000322008, ENST00000397421, ENST00000528011	609057	Dermatologic	AR-AD
276	CD19	ENST00000538922, ENST00000324662, ENST00000567541	613493	Immune system	AR
277	CD27	ENST00000266557	615122	Immune system	AR
278	CD2AP	ENST00000359314	607832	Cilia+Kidney	AR-AD
279	CD320	ENST00000537716, ENST00000301458	613646	Metabolic-ID	AR-AD
280	CD3D	ENST00000300692, ENST00000529594, ENST00000392884	608971	Immune system	AR
281	CD3E	ENST00000361763, ENST00000528600	615615	Immune system	AR
282	CD3G	ENST00000392883, ENST00000532917	615607	Immune system	AR
283	CD40	ENST00000372285, ENST00000620709, ENST00000372276	606843	Immune system	AR
284	CD59	ENST00000534312, ENST00000395850, ENST00000533403, ENST00000351554, ENST00000415002, ENST00000445143, ENST00000426650, ENST00000437761, ENST00000527577, ENST00000528700	612300	Immune system	AR
285	CD79A	ENST00000221972, ENST00000444740	613501	Immune system	AR
286	CD79B	ENST00000392795, ENST00000006750, ENST00000349817, ENST00000263645, ENST00000492627	612692	Immune system	AR
287	CD81	ENST00000381036, ENST00000526072, ENST00000481687	613496	Immune system	AR
288	CD8A	ENST00000409511, ENST00000352580, ENST00000283635, ENST00000409781	608957	Immune system	AR
289	CDAN1	ENST00000356231	224120	Multi-system	AR
290	CDC14A	ENST00000635056, ENST00000361544, ENST00000370124, ENST00000336454	616958	Deafness	AR
291	CDC45	ENST00000407835, ENST00000263201, ENST00000437685, ENST00000404724, ENST00000347703	617063	Skeletal	AR
292	CDCA7	ENST00000306721, ENST00000410101, ENST00000410019	616910	Immune system	AR
293	CDH11	ENST00000394156, ENST00000268603, ENST00000566827	211380	ID	AR
294	CDH23	ENST00000398809, ENST00000622827, ENST00000224721, ENST00000461841, ENST00000299366, ENST00000398842, ENST00000616684, ENST00000398788, ENST00000619887	601386	Multi-system	AR
295	CDH3	ENST00000264012, ENST00000429102	225280	Multi-system	AR
296	CDHR1	ENST00000623527, ENST00000332904	613660	Blindness	AR
297	CDK10	ENST00000331006, ENST00000353379, ENST00000505473	617694	ID	AR
298	CDK5RAP2	ENST00000625631, ENST00000617879, ENST00000360822, ENST00000349780, ENST00000360190	604804	ID	AR
299	CDSN	ENST00000376288	146520	Multi-system	AR-AD
300	CDT1	ENST00000301019	613804	Skeletal	AR
301	СЕВРЕ	ENST00000206513	245480	Immune system	AR
